"","case","site","Pop","sex","age","hdlngth","skullw","totlngth","taill","footlgth","earconch","eye","chest","belly"
"C3",1,1,"Vic","m",8,94.1,60.4,89,36,74.5,54.5,15.2,28,36
"C5",2,1,"Vic","f",6,92.5,57.6,91.5,36.5,72.5,51.2,16,28.5,33
"C10",3,1,"Vic","f",6,94,60,95.5,39,75.4,51.9,15.5,30,34
"C15",4,1,"Vic","f",6,93.2,57.1,92,38,76.1,52.2,15.2,28,34
"C23",5,1,"Vic","f",2,91.5,56.3,85.5,36,71,53.2,15.1,28.5,33
"C24",6,1,"Vic","f",1,93.1,54.8,90.5,35.5,73.2,53.6,14.2,30,32
"C26",7,1,"Vic","m",2,95.3,58.2,89.5,36,71.5,52,14.2,30,34.5
"C27",8,1,"Vic","f",6,94.8,57.6,91,37,72.7,53.9,14.5,29,34
"C28",9,1,"Vic","f",9,93.4,56.3,91.5,37,72.4,52.9,15.5,28,33
"C31",10,1,"Vic","f",6,91.8,58,89.5,37.5,70.9,53.4,14.4,27.5,32
"C32",11,1,"Vic","f",9,93.3,57.2,89.5,39,77.2,51.3,14.9,31,34
"C34",12,1,"Vic","f",5,94.9,55.6,92,35.5,71.7,51,15.3,28,33
"C36",13,1,"Vic","m",5,95.1,59.9,89.5,36,71,49.8,15.8,27,32
"C37",14,1,"Vic","m",3,95.4,57.6,91.5,36,74.3,53.7,15.1,28,31.5
"C39",15,1,"Vic","m",5,92.9,57.6,85.5,34,69.7,51.8,15.7,28,35
"C40",16,1,"Vic","m",4,91.6,56,86,34.5,73,51.4,14.4,28,32
"C45",17,1,"Vic","f",1,94.7,67.7,89.5,36.5,73.2,53.2,14.7,29,31
"C47",18,1,"Vic","m",2,93.5,55.7,90,36,73.7,55.4,15.3,28,32
"C48",19,1,"Vic","f",5,94.4,55.4,90.5,35,73.4,53.9,15.2,28,32
"C50",20,1,"Vic","f",4,94.8,56.3,89,38,73.8,52.4,15.5,27,36
"C54",21,1,"Vic","f",3,95.9,58.1,96.5,39.5,77.9,52.9,14.2,30,40
"C55",22,1,"Vic","m",3,96.3,58.5,91,39.5,73.5,52.1,16.2,28,36
"C58",23,1,"Vic","f",4,92.5,56.1,89,36,72.8,53.3,15.4,28,35
"C59",24,1,"Vic","m",2,94.4,54.9,84,34,75,53.5,16.2,27,32
"C60",25,1,"Vic","m",3,95.8,58.5,91.5,35.5,72.3,51.6,14.9,31,35
"C61",26,1,"Vic","m",7,96,59,90,36,73.6,56.2,15,29,38
"C63",27,1,"Vic","f",2,90.5,54.5,85,35,70.3,50.8,14.2,23,28
"C64",28,1,"Vic","m",4,93.8,56.8,87,34.5,73.2,53,15.3,27,30
"A1",29,1,"Vic","f",3,92.8,56,88,35,74.9,51.8,14,24,32
"A2",30,1,"Vic","f",2,92.1,54.4,84,33.5,70.6,50.8,14.5,24.5,33
"A3",31,1,"Vic","m",3,92.8,54.1,93,37,68,52.5,14.5,27,31
"A4",32,1,"Vic","f",4,94.3,56.7,94,39,74.8,52,14.9,28,34
"AD1",33,1,"Vic","m",3,91.4,54.6,89,37,70.8,51.8,14.8,24,30
"BB4",34,2,"Vic","m",2,90.6,55.7,85.5,36.5,73.1,53.1,14.4,26,28.5
"BB13",35,2,"Vic","m",4,94.4,57.9,85,35.5,71.2,55.5,16.4,28,35.5
"BB15",36,2,"Vic","m",7,93.3,59.3,88,35,74.3,52,14.9,25.5,36
"BB17",37,2,"Vic","f",2,89.3,54.8,82.5,35,71.2,52,13.6,28,31.5
"BB25",38,2,"Vic","m",7,92.4,56,80.5,35.5,68.4,49.5,15.9,27,30
"BB31",39,2,"Vic","f",1,84.7,51.5,75,34,68.7,53.4,13,25,25
"BB33",40,2,"Vic","f",3,91,55,84.5,36,72.8,51.4,13.6,27,30
"BB36",41,2,"Vic","f",5,88.4,57,83,36.5,NA,40.3,15.9,27,30.5
"BB38",42,2,"Vic","m",3,85.3,54.1,77,32,62.7,51.2,13.8,25.5,33
"BB40",43,2,"Vic","f",2,90,55.5,81,32,72,49.4,13.4,29,31
"BB41",44,2,"Vic","m",NA,85.1,51.5,76,35.5,70.3,52.6,14.4,23,27
"BB44",45,2,"Vic","m",3,90.7,55.9,81,34,71.5,54,14.6,27,31.5
"BB45",46,2,"Vic","m",NA,91.4,54.4,84,35,72.8,51.2,14.4,24.5,35
"WW1",47,3,"other","m",2,90.1,54.8,89,37.5,66,45.5,15,25,33
"WW2",48,3,"other","m",5,98.6,63.2,85,34,66.9,44.9,17,28,35
"WW3",49,3,"other","m",4,95.4,59.2,85,37,69,45,15.9,29.5,35.5
"WW4",50,3,"other","f",5,91.6,56.4,88,38,65,47.2,14.9,28,36
"WW5",51,3,"other","f",5,95.6,59.6,85,36,64,43.9,17.4,28,38.5
"WW6",52,3,"other","m",6,97.6,61,93.5,40,67.9,44.3,15.8,28.5,32.5
"WW7",53,3,"other","f",3,93.1,58.1,91,38,67.4,46,16.5,26,33.5
"BR1",54,4,"other","m",7,96.9,63,91.5,43,71.3,46,17.5,30,36.5
"BR2",55,4,"other","m",2,103.1,63.2,92.5,38,72.5,44.9,16.4,30.5,36
"BR3",56,4,"other","m",3,99.9,61.5,93.7,38,68.7,46.8,16.4,27.5,31.5
"BR4",57,4,"other","f",4,95.1,59.4,93,41,67.2,45.3,14.5,31,39
"BR5",58,4,"other","m",3,94.5,64.2,91,39,66.5,46.4,14.4,30.5,33
"BR6",59,4,"other","m",2,102.5,62.8,96,40,73.2,44.5,14.7,32,36
"BR7",60,4,"other","f",2,91.3,57.7,88,39,63.1,47,14.4,26,30
"CD1",61,5,"other","m",7,95.7,59,86,38,63.1,44.9,15,26.5,31
"CD2",62,5,"other","f",3,91.3,58,90.5,39,65.5,41.3,16,27,32
"CD3",63,5,"other","f",6,92,56.4,88.5,38,64.1,46.3,15.2,25.5,28.5
"CD4",64,5,"other","f",3,96.9,56.5,89.5,38.5,63,45.1,17.1,25.5,33
"CD5",65,5,"other","f",5,93.5,57.4,88.5,38,68.2,41.7,14,29,38.5
"CD6",66,5,"other","f",3,90.4,55.8,86,36.5,63.2,44.2,15.7,26.5,34
"CD7",67,5,"other","m",4,93.3,57.6,85,36.5,64.7,44.1,16.5,27.5,29.5
"CD8",68,5,"other","m",5,94.1,56,88.5,38,65.9,43.1,17.4,27,30
"CD9",69,5,"other","m",5,98,55.6,88,37.5,65,45.6,15,28.5,34
"CD10",70,5,"other","f",7,91.9,56.4,87,38,65.4,44.1,13,27,34
"CD11",71,5,"other","m",6,92.8,57.6,90,40,65.7,42.8,15,27.5,34
"CD12",72,5,"other","m",1,85.9,52.4,80.5,35,62,42.4,14.1,25.5,30
"CD13",73,5,"other","m",1,82.5,52.3,82,36.5,65.7,44.7,16,23.5,28
"BSF1",74,6,"other","f",4,88.7,52,83,38,61.5,45.9,14.7,26,34
"BSF2",75,6,"other","m",6,93.8,58.1,89,38,66.2,45.6,16.9,26,33.5
