rownames,id,trial,OmE,V,grp
1,44,Pitie-74,-1.8,14.5,1
2,45,GETTECadj,11.8,57.1,1
3,46,Int 0034,-7.4,80.6,1
4,102,JHCFUS,-5.6,8.5,1
5,97,TMH R-4,0.4,6.4,1
6,103,KKD-86,1.8,8.7,1
7,10,HNU-87a,-0.2,5,1
8,47,HNU-87b,-3.9,30.2,1
9,14,IGR-65,0,7.8,2
10,17,RTOG 6801,-0.8,125.9,2
11,33,EORTC 24771,2.2,27.9,2
12,28,DENVER-77,-3.3,13.5,2
13,29,HNCP,-0.6,63.1,2
14,34,EORTC 78-OCP,-9.2,29.7,2
15,52,MCW-1,6.3,16.6,2
16,31,SWOG 8006,2.6,36.6,2
17,22,Pitie-81,-2,25.8,2
18,32,Buenos Aires,-2.1,18.1,2
19,36,Creteil-82,7.2,19.8,2
20,23,HNCGICO2,2.7,22.2,2
21,30,MCW-2,1.2,9,2
22,26.1,AC CAMARGO (a),0.4,11.9,2
23,92.1,SECOG II (a),-3.6,33.2,2
24,41,EORTC 24844,-0.3,13.4,2
25,90,SHNG 85,-4.2,92.2,2
26,24,HNCGICO3,1.6,19.6,2
27,35,Creteil-86,-5.7,20.2,2
28,37,GSTTC-86,-8.5,47.4,2
29,27,GETTECneo1,-7.5,24.8,2
30,11,GETTECneo2,-6.5,15.9,2
31,96,AHNTG,-5.7,46.5,2
32,25,Las Palmas,-4,5.2,2
33,40,Rennes-87,-2.9,25.8,2
34,39,Parma,5.4,9.2,2
35,78,CFHNS,-8.1,46.6,2
36,101,Cologne,-1.1,6.7,2
37,99,Songkla,0.6,9,2
38,38,HNAP-02,4.6,5.9,2
39,93,BNH 003,-7.1,16.4,2
40,55,MDA-70,1.8,8,3
41,56,WIA-OC5a,-4.3,8.4,3
42,104,WIA-OC5b,-17.9,14.1,3
43,62,EORTC 73-OC,1.2,40,3
44,71,Bergen,-3.1,6.7,3
45,68,RT-BLM-73,2.1,5.5,3
46,109,WIA-OC5c,-4.4,7,3
47,60,Turku,-2,9.9,3
48,48,UW-77,-12,10.4,3
49,59,NRH-78,4.5,45.6,3
50,64,Barcelona,-25.3,121.2,3
51,58,UW-79,-6.8,4.6,3
52,61,Manchester,-2.4,66.2,3
53,72,Yale 80,2,24.3,3
54,69,PMHCGS,-4.3,41.2,3
55,65,ECOG 2382,5.4,79.4,3
56,26.2,AC CAMARGO (b),2.1,11.9,3
57,73,Toulouse,-13.5,16.6,3
58,92.2,SECOG II (b),-8.7,31.7,3
59,74,CH-7401,-2.2,11.2,3
60,75,Yale 86,-0.8,12.2,3
61,70,INRC HN-8,-14.3,30,3
62,66,Ontario,-5.1,28.3,3
63,108,Kragujevac,-13.3,21.9,3
64,91,Bavaria 89,-16.8,29.8,3
65,98,LOHNG 91,-5.3,12.3,3
