rownames,loc,gen,yield,stand,rootlodge,stalklodge,earht,flower,moisture
1,"Knoxville,TN",AgriGold_A6680W,138.2,91.1,0,0,47.3,67.3,21.7
2,"Knoxville,TN",AgriGold_XA4323W,151,86.1,0,0.6,45,67.7,21.5
3,"Knoxville,TN",Asgrow_XP7555W,139.6,94.4,0,0.6,46.3,67,19.8
4,"Knoxville,TN",Beck_Ex2251,190.1,90,0,0,57,67.3,19.4
5,"Knoxville,TN",Crows_W54,140.7,88.9,0,0.6,47,68.7,21.1
6,"Knoxville,TN",Crows_W55,139.3,88.9,0,1.2,52,66.7,20
7,"Knoxville,TN",Crows_EX551,178.9,88.9,0,0.7,47,67.3,20.2
8,"Knoxville,TN",Crows_EX552,180,94.4,0,1.8,49,67.7,19.9
9,"Knoxville,TN",Dekalb_DK703W,166.3,98.9,0,0.6,47,67,21.3
10,"Knoxville,TN",Dekalb_DK631W,169.1,99.4,0,1.1,37,65.3,19.1
11,"Knoxville,TN",Dekalb_EXP564W,178.4,93.9,0,0.6,49,68,18.8
12,"Knoxville,TN",GoldenHarvest_EX-106W,194.2,98.3,0,0.6,53.3,66.7,19.1
13,"Knoxville,TN",Hoegemeyer_1125W,147.7,97.2,0,0,48,67.7,21.6
14,"Knoxville,TN",Hoegemeyer_1131W,152.3,91.7,0,0.6,51.7,70,20.9
15,"Knoxville,TN",Hoegemeyer_1142W,146.4,95,0,0.6,46,69.3,23.3
16,"Knoxville,TN",ICI_8320W,147,95,0,0.6,46,67.3,20.8
17,"Knoxville,TN",ICI_N3527W,151.5,92.2,0,1.2,40.7,63,17.6
18,"Knoxville,TN",IFSI_90-1,172.9,87.2,0,0.6,51,67,21.1
19,"Knoxville,TN",IFSI_93-4,192.5,92.8,0,1.3,48.7,67.3,21.6
20,"Knoxville,TN",IFSI_95-2,189.2,94.4,0,0.6,57,66,19.5
21,"Knoxville,TN",LG_NB571W,160.7,92.8,0,4.3,40,65.7,16.6
22,"Knoxville,TN",LG_NB710W,168.9,94.4,0,0,49,65.7,19.8
23,"Knoxville,TN",LG_NB739W,175,99.4,0,1.1,40.3,66.7,20.7
24,"Knoxville,TN",LG_NB742W,156,91.1,0,1.3,34.3,65.3,20.3
25,"Knoxville,TN",LG_NB749W,146.5,97.8,0.6,0,48,68,21.3
26,"Knoxville,TN",Mycogen_7860W,145.6,87.8,0,0,47.3,66.7,20.9
27,"Knoxville,TN",Mycogen_X6688W,189.6,92.8,0,1.2,57.7,66.7,19.3
28,"Knoxville,TN",NC+_5633W,166.9,92.8,0,0,51,67.3,19.9
29,"Knoxville,TN",NC+_6555W,135.8,99.4,0,0,47,68,20.7
30,"Knoxville,TN",NorthrupKing_X6545W,180.6,91.1,0,1.3,52,66.7,20.3
31,"Knoxville,TN",NorthrupKing_X6955W,173.1,92.2,0,1.8,52,67.3,20.8
32,"Knoxville,TN",Pioneer_3287W,151.3,97.2,0,0,45.7,64.3,20.2
33,"Knoxville,TN",Pioneer_3392W,179.9,95.6,0,1.2,50,66,18.6
34,"Knoxville,TN",Pioneer_3443W,171.4,98.9,0,0,51,64,19.6
35,"Knoxville,TN",Pioneer_3463W,173.9,96.7,0,1.2,45.7,63.3,18.8
36,"Knoxville,TN",Pioneer_X1155FW,184.2,98.9,0,0,46,65.7,19.9
37,"Knoxville,TN",SeedTec_ST-7545W,200.6,95.6,0,1.2,51,68.7,19.4
38,"Knoxville,TN",Sturdy_SG730W,172.7,95,0,0,53,67,20
