rownames,rep,gen,row,col,yield,matur
1,R1,V10,4,1,13.2,M3
2,R1,V06,4,2,9.9,M1
3,R1,V14,4,3,14,M3
4,R1,V13,4,4,8.6,M3
5,R1,V07,4,5,13.4,M3
6,R1,V09,4,6,10.7,M3
7,R1,V20,4,7,11.6,M2
8,R1,V03,4,8,10.2,M1
9,R1,V12,4,9,13.2,M3
10,R1,V17,4,10,11,M3
11,R1,V15,4,11,10.4,M1
12,R1,V02,4,12,11.2,M1
13,R1,V01,4,13,11,M2
14,R1,V16,4,14,13.3,M3
15,R1,V04,4,15,8.7,M2
16,R1,V11,4,16,11.4,M3
17,R1,V19,4,17,11,M3
18,R1,V08,4,18,14,M3
19,R1,V18,4,19,8.6,M3
20,R1,V05,4,20,7.8,M1
21,R2,V15,3,1,10,M1
22,R2,V13,3,2,11.4,M3
23,R2,V20,3,3,14.3,M2
24,R2,V14,3,4,13.4,M3
25,R2,V06,3,5,13,M1
26,R2,V10,3,6,14.1,M3
27,R2,V01,3,7,10.8,M2
28,R2,V17,3,8,10.3,M3
29,R2,V16,3,9,11.4,M3
30,R2,V19,3,10,14.8,M3
31,R2,V12,3,11,11.4,M3
32,R2,V04,3,12,9.2,M2
33,R2,V18,3,13,11.8,M3
34,R2,V03,3,14,10.8,M1
35,R2,V08,3,15,15.7,M3
36,R2,V09,3,16,8.8,M3
37,R2,V07,3,17,11.8,M3
38,R2,V02,3,18,10.2,M1
39,R2,V05,3,19,9.6,M1
40,R2,V11,3,20,12.3,M3
41,R3,V02,2,1,10.3,M1
42,R3,V19,2,2,16.1,M3
43,R3,V17,2,3,11.1,M3
44,R3,V01,2,4,12.4,M2
45,R3,V12,2,5,13.7,M3
46,R3,V20,2,6,13.2,M2
47,R3,V07,2,7,13.6,M3
48,R3,V16,2,8,12.2,M3
49,R3,V05,2,9,10.1,M1
50,R3,V08,2,10,17.2,M3
51,R3,V11,2,11,12.4,M3
52,R3,V18,2,12,9.4,M3
53,R3,V06,2,13,13,M1
54,R3,V03,2,14,14,M1
55,R3,V15,2,15,11.2,M1
56,R3,V14,2,16,12.6,M3
57,R3,V10,2,17,12.2,M3
58,R3,V13,2,18,9,M3
59,R3,V09,2,19,13.2,M3
60,R3,V04,2,20,8.8,M2
61,R4,V11,1,1,14.2,M3
62,R4,V03,1,2,11.6,M1
63,R4,V12,1,3,15.7,M3
64,R4,V20,1,4,12.8,M2
65,R4,V02,1,5,9.6,M1
66,R4,V07,1,6,14.4,M3
67,R4,V16,1,7,10.7,M3
68,R4,V19,1,8,15.9,M3
69,R4,V13,1,9,11.2,M3
70,R4,V18,1,10,12.8,M3
71,R4,V17,1,11,8.4,M3
72,R4,V06,1,12,14.6,M1
73,R4,V15,1,13,8.9,M1
74,R4,V10,1,14,16.2,M3
75,R4,V05,1,15,9.6,M1
76,R4,V09,1,16,13.3,M3
77,R4,V14,1,17,11.9,M3
78,R4,V01,1,18,10.9,M2
79,R4,V04,1,19,11,M2
80,R4,V08,1,20,17.9,M3
