rownames,cow,trt,period,yield,block
1,C1,T1,P1,34.6,B1
2,C2,T2,P1,22.8,B1
3,C3,T3,P1,32.9,B1
4,C4,T1,P1,48.9,B1
5,C5,T2,P1,21.8,B1
6,C6,T3,P1,25.4,B1
7,C7,T1,P1,30.4,B2
8,C8,T2,P1,35.2,B2
9,C9,T3,P1,30.8,B2
10,C10,T1,P1,38.7,B3
11,C11,T2,P1,25.7,B3
12,C12,T3,P1,21.4,B3
13,C1,T2,P2,32.3,B1
14,C2,T3,P2,21,B1
15,C3,T1,P2,33.1,B1
16,C4,T3,P2,46.9,B1
17,C5,T1,P2,23.9,B1
18,C6,T2,P2,26,B1
19,C7,T3,P2,29.5,B2
20,C8,T1,P2,33.5,B2
21,C9,T2,P2,29.3,B2
22,C10,T2,P2,37.4,B3
23,C11,T3,P2,26.1,B3
24,C12,T1,P2,22,B3
25,C1,T1,P3,28.5,B1
26,C2,T2,P3,18.6,B1
27,C3,T3,P3,27.5,B1
28,C4,T1,P3,42,B1
29,C5,T2,P3,21.7,B1
30,C6,T3,P3,23.9,B1
31,C7,T1,P3,26.7,B2
32,C8,T2,P3,28.4,B2
33,C9,T3,P3,26.4,B2
34,C10,T1,P3,34.4,B3
35,C11,T2,P3,23.4,B3
36,C12,T3,P3,19.4,B3
