rownames,Site,Al,Fe,Mg,Ca,Na,K,Ti,P,Mn,Sb,Pb
1,Mancetter,2.51,0.53,0.56,6.98,17.44,0.73,0.09,0.15,0.58,0.12,0.03
2,Mancetter,2.36,0.49,0.53,6.71,17.69,0.68,0.09,0.13,0.4,0.23,0.04
3,Mancetter,2.3,0.36,0.49,8.1,15.94,0.68,0.07,0.13,0.77,0,0.01
4,Mancetter,2.42,0.52,0.56,6.93,17.59,0.72,0.09,0.14,0.47,0.18,0.02
5,Mancetter,2.32,0.37,0.51,7.51,16.27,0.69,0.07,0.13,0.21,0,0.02
6,Mancetter,2.34,0.56,0.52,6.1,18.61,0.69,0.1,0.11,0.3,0.32,0.03
7,Mancetter,2.5,0.46,0.5,6.83,17.46,0.79,0.08,0.15,0.4,0.06,0.02
8,Mancetter,2.47,0.53,0.55,6.55,18.55,0.75,0.09,0.12,0.35,0.23,0.04
9,Mancetter,2.41,0.67,0.62,6.18,18.33,0.81,0.12,0.14,0.52,0.31,0.07
10,Mancetter,2.64,0.5,0.63,7.76,15.66,0.63,0.08,0.16,0.21,0,0.01
11,Mancetter,2.77,0.58,0.5,7.33,16.1,0.68,0.08,0.14,0.57,0,0.01
12,Mancetter,2.43,0.69,0.72,6.27,17.84,0.98,0.12,0.22,0.63,0.13,0.04
13,Mancetter,2.5,0.36,0.53,8.51,15.46,0.6,0.07,0.16,0.45,0,0.01
14,Mancetter,2.63,0.46,0.47,7.25,16.26,0.59,0.07,0.12,0.3,0,0.01
15,Mancetter,2.66,0.41,0.5,7.35,17.12,0.63,0.07,0.15,0.11,0,0.01
16,Mancetter,2.43,0.62,0.52,6.89,17.17,0.69,0.08,0.13,0.44,0.18,0.05
17,Mancetter,2.55,0.53,0.52,7.91,16.2,0.62,0.07,0.15,0.38,0,0.01
18,Mancetter,2.44,0.54,0.56,6.65,17.68,0.97,0.1,0.12,0.4,0.25,0.03
19,Mancetter,2.22,0.34,0.46,7.08,16.14,0.63,0.06,0.15,0.12,0,0.01
