"","dataset","x","y"
"1","dino",55.3846,97.1795
"2","dino",51.5385,96.0256
"3","dino",46.1538,94.4872
"4","dino",42.8205,91.4103
"5","dino",40.7692,88.3333
"6","dino",38.7179,84.8718
"7","dino",35.641,79.8718
"8","dino",33.0769,77.5641
"9","dino",28.9744,74.4872
"10","dino",26.1538,71.4103
"11","dino",23.0769,66.4103
"12","dino",22.3077,61.7949
"13","dino",22.3077,57.1795
"14","dino",23.3333,52.9487
"15","dino",25.8974,51.0256
"16","dino",29.4872,51.0256
"17","dino",32.8205,51.0256
"18","dino",35.3846,51.4103
"19","dino",40.2564,51.4103
"20","dino",44.1026,52.9487
"21","dino",46.6667,54.1026
"22","dino",50,55.2564
"23","dino",53.0769,55.641
"24","dino",56.6667,56.0256
"25","dino",59.2308,57.9487
"26","dino",61.2821,62.1795
"27","dino",61.5385,66.4103
"28","dino",61.7949,69.1026
"29","dino",57.4359,55.2564
"30","dino",54.8718,49.8718
"31","dino",52.5641,46.0256
"32","dino",48.2051,38.3333
"33","dino",49.4872,42.1795
"34","dino",51.0256,44.1026
"35","dino",45.3846,36.4103
"36","dino",42.8205,32.5641
"37","dino",38.7179,31.4103
"38","dino",35.1282,30.2564
"39","dino",32.5641,32.1795
"40","dino",30,36.7949
"41","dino",33.5897,41.4103
"42","dino",36.6667,45.641
"43","dino",38.2051,49.1026
"44","dino",29.7436,36.0256
"45","dino",29.7436,32.1795
"46","dino",30,29.1026
"47","dino",32.0513,26.7949
"48","dino",35.8974,25.2564
"49","dino",41.0256,25.2564
"50","dino",44.1026,25.641
"51","dino",47.1795,28.718
"52","dino",49.4872,31.4103
"53","dino",51.5385,34.8718
"54","dino",53.5897,37.5641
"55","dino",55.1282,40.641
"56","dino",56.6667,42.1795
"57","dino",59.2308,44.4872
"58","dino",62.3077,46.0256
"59","dino",64.8718,46.7949
"60","dino",67.9487,47.9487
"61","dino",70.5128,53.718
"62","dino",71.5385,60.641
"63","dino",71.5385,64.4872
"64","dino",69.4872,69.4872
"65","dino",46.9231,79.8718
"66","dino",48.2051,84.1026
"67","dino",50,85.2564
"68","dino",53.0769,85.2564
"69","dino",55.3846,86.0256
"70","dino",56.6667,86.0256
"71","dino",56.1538,82.9487
"72","dino",53.8462,80.641
"73","dino",51.2821,78.718
"74","dino",50,78.718
"75","dino",47.9487,77.5641
"76","dino",29.7436,59.8718
"77","dino",29.7436,62.1795
"78","dino",31.2821,62.5641
