"","inlf","hours","kidslt6","kidsge6","age","educ","wage","repwage","hushrs","husage","huseduc","huswage","faminc","mtr","motheduc","fatheduc","unem","city","exper","nwifeinc","lwage","expersq"
"1",1,1610,1,0,32,12,3.35400009155273,2.65000009536743,2708,34,12,4.02880001068115,16310,0.721499979496002,12,7,5,0,14,10.910059928894,1.2101536989212,196
"2",1,1656,0,2,30,12,1.3889000415802,2.65000009536743,2310,30,9,8.44159984588623,21800,0.661499977111816,7,7,11,1,5,19.4999809265137,0.328512102365494,25
"3",1,1980,1,3,35,12,4.54549980163574,4.03999996185303,3072,40,12,3.5806999206543,21040,0.691500008106232,12,7,5,0,15,12.0399103164673,1.51413774490356,225
"4",1,456,0,3,34,12,1.09650003910065,3.25,1920,53,10,3.54169988632202,7300,0.781499981880188,7,7,5,0,6,6.79999589920044,0.0921233221888542,36
"5",1,1568,1,2,31,14,4.59180021286011,3.59999990463257,2000,32,12,10,27300,0.621500015258789,12,14,9.5,1,7,20.1000576019287,1.52427220344543,49
"6",1,2032,0,0,54,12,4.74209976196289,4.69999980926514,1040,57,11,6.71059989929199,19495,0.691500008106232,14,7,7.5,1,33,9.85905361175537,1.55648005008698,1089
"7",1,1440,0,2,37,16,8.33329963684082,5.94999980926514,2670,37,12,3.42770004272461,21152,0.691500008106232,14,7,5,0,11,9.15204811096191,2.12025952339172,121
"8",1,1020,0,0,54,12,7.84310007095337,9.97999954223633,4120,53,8,2.54850006103516,18900,0.691500008106232,3,3,5,0,35,10.9000377655029,2.0596342086792,1225
"9",1,1458,0,2,48,12,2.12619996070862,0,1995,52,4,4.22060012817383,20405,0.751500010490417,7,7,3,0,24,17.3050003051758,0.754336357116699,576
"10",1,1600,0,2,39,12,4.6875,4.15000009536743,2100,43,12,5.71430015563965,20425,0.691500008106232,7,7,5,0,21,12.9250001907349,1.54489934444427,441
"11",1,1969,0,1,33,12,4.06300020217896,4.30000019073486,2450,34,12,9.79590034484863,32300,0.581499993801117,12,3,5,0,15,24.2999534606934,1.4019216299057,225
"12",1,1960,0,1,42,11,4.59180021286011,4.57999992370605,2375,47,14,8,28700,0.621500015258789,14,7,5,0,14,19.7000713348389,1.52427220344543,196
"13",1,240,1,2,30,12,2.08330011367798,0,2830,33,16,5.30039978027344,15500,0.721499979496002,16,16,5,0,0,15.0000076293945,0.733953237533569,0
"14",1,997,0,2,43,12,2.26679992675781,3.5,3317,46,12,4.34130001068115,16860,0.721499979496002,10,10,7.5,1,14,14.6000003814697,0.818369090557098,196
"15",1,1848,0,1,43,10,3.67969989776611,3.38000011444092,2024,45,17,10.8699998855591,31431,0.581499993801117,7,7,7.5,1,6,24.6309146881104,1.30283117294312,36
"16",1,1224,0,3,35,11,1.34720003604889,0,1694,38,12,9.14990043640137,19180,0.721499979496002,16,10,7.5,1,9,17.53102684021,0.298028379678726,81
